Time: 0d0h4m15, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m15']
Time: 0d0h4m15, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m16']
Time: 0d0h4m16, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m17']
Time: 0d0h4m17, Temp: 19.1, Turbidity: 785
['Tc:19.0', 'Turb:785', 'Time:0d0h4m17']
Time: 0d0h4m17, Temp: 19.0, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m18']
Time: 0d0h4m18, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m18']
Time: 0d0h4m18, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m19']
Time: 0d0h4m19, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m19']
Time: 0d0h4m19, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m20']
Time: 0d0h4m20, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m20']
Time: 0d0h4m20, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m21']
Time: 0d0h4m21, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m22']
Time: 0d0h4m22, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m22']
Time: 0d0h4m22, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m23']
Time: 0d0h4m23, Temp: 19.1, Turbidity: 785
['Tc:19.0', 'Turb:785', 'Time:0d0h4m23']
Time: 0d0h4m23, Temp: 19.0, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m24']
Time: 0d0h4m24, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m24']
Time: 0d0h4m24, Temp: 19.1, Turbidity: 785
['Tc:19.0', 'Turb:785', 'Time:0d0h4m25']
Time: 0d0h4m25, Temp: 19.0, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m25']
Time: 0d0h4m25, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m26']
Time: 0d0h4m26, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m26']
Time: 0d0h4m26, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m27']
Time: 0d0h4m27, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m28']
Time: 0d0h4m28, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m28']
Time: 0d0h4m28, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m29']
Time: 0d0h4m29, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m29']
Time: 0d0h4m29, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m30']
Time: 0d0h4m30, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m30']
Time: 0d0h4m30, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m31']
Time: 0d0h4m31, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m31']
Time: 0d0h4m31, Temp: 19.1, Turbidity: 785
['Tc:19.0', 'Turb:785', 'Time:0d0h4m32']
Time: 0d0h4m32, Temp: 19.0, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m33']
Time: 0d0h4m33, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m33']
Time: 0d0h4m33, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m34']
Time: 0d0h4m34, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m34']
Time: 0d0h4m34, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m35']
Time: 0d0h4m35, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m35']
Time: 0d0h4m35, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m36']
Time: 0d0h4m36, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m36']
Time: 0d0h4m36, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m37']
Time: 0d0h4m37, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m38']
Time: 0d0h4m38, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m38']
Time: 0d0h4m38, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m39']
Time: 0d0h4m39, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m39']
Time: 0d0h4m39, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m40']
Time: 0d0h4m40, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m40']
Time: 0d0h4m40, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m41']
Time: 0d0h4m41, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m41']
Time: 0d0h4m41, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m42']
Time: 0d0h4m42, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m43']
Time: 0d0h4m43, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m43']
Time: 0d0h4m43, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m44']
Time: 0d0h4m44, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m44']
Time: 0d0h4m44, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m45']
Time: 0d0h4m45, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m45']
Time: 0d0h4m45, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m46']
Time: 0d0h4m46, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m46']
Time: 0d0h4m46, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m47']
Time: 0d0h4m47, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m48']
Time: 0d0h4m48, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m48']
Time: 0d0h4m48, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:786', 'Time:0d0h4m49']
Time: 0d0h4m49, Temp: 19.1, Turbidity: 786
['Tc:19.1', 'Turb:785', 'Time:0d0h4m49']
Time: 0d0h4m49, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:786', 'Time:0d0h4m50']
Time: 0d0h4m50, Temp: 19.1, Turbidity: 786
['Tc:19.1', 'Turb:785', 'Time:0d0h4m50']
Time: 0d0h4m50, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m51']
Time: 0d0h4m51, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:786', 'Time:0d0h4m51']
Time: 0d0h4m51, Temp: 19.1, Turbidity: 786
['Tc:19.1', 'Turb:785', 'Time:0d0h4m52']
Time: 0d0h4m52, Temp: 19.1, Turbidity: 785
