Time (ms), Input Voltage
481, 11.89
1200490, 11.89
2400503, 11.89
3600517, 11.89
4800530, 11.89
6000543, 11.89
7200557, 11.87
8400570, 11.87
9600583, 11.87
10800596, 11.87
12000610, 11.87
13200623, 11.87
14400635, 11.87
15600649, 11.87
16800662, 11.84
18000675, 11.84
19200689, 11.84
20400702, 11.82
21600715, 11.79
22800729, 11.79
24000742, 11.77
25200755, 11.74
26400769, 11.72
27600782, 11.69
28800795, 11.67
30000808, 11.65
31200822, 11.62
32400835, 11.62
33600848, 11.60
34800862, 11.57
36000877, 11.55
37200890, 11.55
38400904, 11.50
39600917, 11.47
40800931, 11.47
42000945, 11.45
43200958, 11.43
44400971, 11.43
45600986, 11.43
46800999, 11.43
48001012, 11.40
49201026, 11.40
50401039, 11.38
